foreground_group	lrt	p_value	significant	interpretation
cetacean	48.41694742371328	1.532368676393503e-11	true	gene-wide episodic diversifying selection on foreground branches
deep_diving	68.92768017930939	5.551115123125783e-16	true	gene-wide episodic diversifying selection on foreground branches
aquatic	65.84613725636882	2.498001805406602e-15	true	gene-wide episodic diversifying selection on foreground branches
marine	65.65874121494562	2.775557561562891e-15	true	gene-wide episodic diversifying selection on foreground branches
